Name,Value. Adaptability,Value. All Around Friendliness,Value. Exercise Needs,Value. Health Grooming,Value. Trainability,Value.Adapts Well to Apartment Living,Value.Affectionate with Family,Value.Amount Of Shedding,Value.Dog Friendly,Value.Drooling Potential,Value.Easy To Groom,Value.Easy To Train,Value.Energy Level,Value.Exercise Needs,Value.Friendly Toward Strangers,Value.General Health,Value.Good For Novice Owners,Value.Incredibly Kid Friendly Dogs,Value.Intelligence,Value.Intensity,Value.Potential For Mouthiness,Value.Potential For Playfulness,Value.Potential For Weight Gain,Value.Prey Drive,Value.Sensitivity Level,Value.Size,Value.Tendency To Bark Or Howl,Value.Tolerates Being Alone,Value.Tolerates Cold Weather,Value.Tolerates Hot Weather,Value.Wanderlust Potential
Affenpinscher,3,3,4,2,3,5,5,1,4,1,3,2,4,3,3,4,4,1,4,3,4,4,3,3,3,1,2,1,3,3,2
Afghan Hound,4,4,4,2,3,5,5,4,4,1,1,1,5,4,2,3,3,5,4,2,3,4,1,5,5,4,2,2,5,5,5
Airedale Terrier,2,4,5,3,5,1,4,2,4,1,2,4,5,5,3,3,2,4,5,3,5,5,4,5,3,3,4,2,3,3,4
Akita,3,2,4,4,4,2,5,5,1,5,1,2,4,4,2,4,2,1,3,3,3,5,4,4,5,4,5,1,5,2,4
Alaskan Klee Kai,3,3,4,3,4,3,4,4,2,2,4,4,4,4,2,4,2,3,4,2,2,4,2,5,4,2,3,2,5,2,4
Alaskan Malamute,2,4,5,3,4,1,4,5,2,1,1,4,5,5,5,4,1,3,4,5,3,5,3,4,4,4,5,1,5,2,5
American Bulldog,2,3,4,3,3,1,5,1,2,4,4,4,4,4,2,3,1,4,3,4,2,4,2,4,4,4,2,1,2,2,3
American English Coonhound,3,5,5,3,5,1,5,3,4,1,5,5,5,5,5,4,2,5,4,5,3,5,3,5,5,3,5,2,4,4,5
American Eskimo Dog,4,5,4,3,4,5,5,5,5,1,3,5,5,4,4,5,4,5,4,3,3,5,4,3,4,2,4,2,5,3,3
American Foxhound,2,5,5,4,4,1,4,3,5,1,5,2,5,5,4,5,2,5,3,4,3,5,5,4,2,3,5,1,4,4,5
American Pit Bull Terrier,3,4,5,3,4,3,5,4,1,1,5,4,4,4,5,4,2,5,4,5,5,5,3,3,4,3,3,1,2,3,4
American Staffordshire Terrier,2,4,4,3,4,2,4,2,2,3,4,4,3,3,4,3,2,4,4,5,5,4,2,3,3,3,4,2,2,3,3
American Water Spaniel,3,4,4,3,4,2,5,3,2,1,3,4,5,5,3,3,2,5,3,2,5,5,3,2,5,3,3,1,2,4,5
Anatolian Shepherd Dog,3,2,3,3,3,1,3,2,2,3,4,4,3,3,1,3,2,2,4,3,2,3,3,2,4,5,2,3,5,3,4
Appenzeller Sennenhunde,3,4,4,3,4,1,5,3,3,1,5,4,4,5,2,4,3,5,4,4,5,4,3,3,3,3,5,1,5,4,3
Australian Cattle Dog,3,4,5,3,4,2,5,3,4,1,4,5,5,5,2,5,1,3,5,5,5,5,4,4,4,3,2,3,4,4,4
Australian Kelpie,3,3,4,3,5,2,4,3,3,1,4,5,5,5,2,3,2,2,5,3,5,4,2,4,4,3,4,2,3,5,4
Australian Shepherd,3,4,5,2,5,1,5,3,5,1,1,5,5,5,3,2,2,4,5,4,4,5,4,4,5,3,4,2,4,4,5
Australian Terrier,3,3,5,3,4,5,4,1,2,1,5,3,5,4,3,5,3,3,4,5,1,5,3,5,2,1,5,2,3,4,4
Azawakh,3,3,3,3,3,5,4,3,3,1,5,3,3,4,2,3,2,2,3,2,3,3,3,4,3,3,1,3,1,5,2
Barbet,3,4,4,2,3,3,5,2,4,1,1,4,5,3,3,4,2,4,4,3,2,4,3,3,3,3,3,1,4,4,3
Basenji,4,5,3,3,4,5,5,1,4,5,5,1,5,5,5,2,4,5,4,1,5,2,2,5,3,2,1,4,1,4,5
Basset Hound,3,5,2,4,4,5,5,4,5,4,5,2,2,2,5,1,4,5,4,2,3,2,5,5,4,2,4,3,2,2,5
Beagle,3,5,5,3,4,4,5,3,5,1,4,1,4,4,5,1,3,5,4,5,3,5,5,5,4,2,5,1,2,4,5
Bearded Collie,3,5,4,3,4,3,5,4,5,1,2,5,4,4,4,3,4,4,4,4,3,5,4,3,4,3,3,2,4,3,5
Bedlington Terrier,4,5,4,3,4,4,5,5,4,1,1,3,4,4,5,4,4,4,5,2,4,5,3,5,3,3,3,3,4,3,4
Belgian Malinois,3,4,5,3,4,1,5,2,2,1,5,5,5,5,3,4,3,4,5,4,3,5,2,4,5,4,2,3,4,4,3
Belgian Sheepdog,4,5,5,3,4,3,4,5,5,1,3,5,5,5,4,3,3,5,5,3,2,5,2,5,5,4,1,3,4,3,4
Belgian Tervuren,3,3,4,3,4,3,4,4,3,1,3,5,5,4,3,3,3,3,5,3,2,5,2,2,5,4,5,1,4,3,4
Berger Picard,4,4,5,4,3,3,5,4,3,1,5,4,5,5,2,5,4,5,4,3,2,5,3,3,5,4,2,3,4,3,2
Bernedoodle,3,4,4,3,4,3,5,1,4,2,3,4,4,3,3,4,3,5,5,3,4,5,3,3,4,3,3,2,5,3,3
Bernese Mountain Dog,2,5,4,4,4,1,5,5,3,4,3,4,4,3,5,1,2,5,4,3,5,4,4,5,4,5,4,1,5,1,3
Bichon Frise,4,5,4,2,3,5,5,2,4,1,1,5,5,3,5,4,5,4,4,3,3,5,4,4,5,2,2,1,3,4,2
Black Mouth Cur,3,4,4,3,4,1,5,3,3,2,5,3,4,5,3,4,2,5,4,3,3,4,2,5,4,4,4,2,3,3,4
Black Russian Terrier,3,4,5,3,4,3,5,2,2,3,2,4,4,4,3,3,2,5,4,5,4,5,3,3,4,5,3,1,4,3,3
Black and Tan Coonhound,3,5,5,4,4,1,5,5,5,3,4,2,5,5,5,5,2,5,5,5,1,5,5,5,3,3,5,2,4,4,5
Bloodhound,3,5,4,3,4,1,5,4,5,5,1,3,5,5,5,3,2,5,4,4,5,3,3,3,4,4,4,2,3,3,5
Blue Lacy,3,3,5,3,5,1,4,3,2,2,5,5,5,5,2,4,1,3,5,5,4,4,2,5,4,3,5,2,4,5,4
Bluetick Coonhound,3,4,5,3,4,2,5,2,3,2,5,2,5,5,3,4,2,5,4,4,3,5,3,4,5,3,4,2,3,3,5
Boerboel,2,3,4,4,3,1,4,3,2,4,4,2,3,4,2,4,1,4,4,4,3,4,3,3,3,5,3,2,3,4,4
Bolognese,3,5,3,2,4,5,5,1,5,1,1,5,3,4,5,5,3,5,4,3,4,3,3,5,5,1,4,2,2,3,1
